pair_id,condition,block_n,object,object_selected,score,rt
p001-p093,fixed_associations,2,splat_yellow,splat_red,0,7551.40000000037
p001-p093,fixed_associations,2,splat_red,splat_yellow,0,5717.60000000149
p001-p093,fixed_associations,2,splat_pink,splat_yellow,0,2169.09999999963
p001-p093,fixed_associations,2,splat_grey,splat_grey,1,2246.90000000037
p001-p093,fixed_associations,2,splat_pink,splat_red,0,3228.90000000037
p001-p093,fixed_associations,2,splat_red,splat_pink,0,3007.69999999925
p001-p093,fixed_associations,2,splat_yellow,splat_grey,0,1906.19999999925
p001-p093,fixed_associations,2,splat_grey,splat_pink,0,4092.19999999925
p001-p093,fixed_associations,2,splat_grey,splat_pink,0,2680.10000000149
p001-p093,fixed_associations,2,splat_pink,splat_yellow,0,3556.40000000037
p001-p093,fixed_associations,2,splat_red,splat_grey,0,1427.20000000112
p001-p093,fixed_associations,2,splat_yellow,splat_yellow,1,7362.5
p001-p093,fixed_associations,2,splat_red,splat_yellow,0,2637.30000000075
p001-p093,fixed_associations,2,splat_pink,splat_grey,0,1632.90000000037
p001-p093,fixed_associations,2,splat_grey,splat_yellow,0,1806.80000000075
p001-p093,fixed_associations,2,splat_yellow,splat_yellow,1,4911.09999999963
p001-p093,fixed_associations,3,cross_pink,cross_pink,1,3513.5
p001-p093,fixed_associations,3,hexagon_red,hexagon_yellow,0,4030.80000000075
p001-p093,fixed_associations,3,hexagon_grey,hexagon_pink,0,3798.09999999963
p001-p093,fixed_associations,3,cross_yellow,cross_pink,0,2539.20000000112
p001-p093,fixed_associations,3,star_grey,star_red,0,1087.80000000075
p001-p093,fixed_associations,3,star_yellow,star_yellow,1,1377
p001-p093,fixed_associations,3,star_red,star_red,1,1175.20000000112
p001-p093,fixed_associations,3,circle_pink,circle_grey,0,1899.09999999963
p001-p093,fixed_associations,3,hexagon_pink,hexagon_grey,0,1366.90000000037
p001-p093,fixed_associations,3,star_grey,star_red,0,499.299999998882
p001-p093,fixed_associations,3,cross_yellow,cross_pink,0,1223
p001-p093,fixed_associations,3,star_red,star_yellow,0,451.700000001118
p001-p093,fixed_associations,3,hexagon_grey,hexagon_grey,1,497.10000000149
p001-p093,fixed_associations,3,cross_pink,cross_grey,0,680.699999999255
p001-p093,fixed_associations,3,hexagon_red,hexagon_grey,0,2711.79999999888
p001-p093,fixed_associations,3,circle_yellow,circle_red,0,536.300000000745
p002-p050,random_associations,2,splat_red,splat_grey,0,3877.09999990463
p002-p050,random_associations,2,splat_yellow,splat_yellow,1,1580.20000004768
p002-p050,random_associations,2,splat_grey,splat_yellow,0,2277
p002-p050,random_associations,2,splat_pink,splat_grey,0,2364.79999995232
p002-p050,random_associations,2,splat_pink,splat_red,0,3637.29999995232
p002-p050,random_associations,2,splat_red,splat_red,1,2766.09999990463
p002-p050,random_associations,2,splat_yellow,splat_yellow,1,1701.89999985695
p002-p050,random_associations,2,splat_grey,splat_red,0,2327.10000014305
p002-p050,random_associations,2,splat_yellow,splat_yellow,1,1712.09999990463
p002-p050,random_associations,2,splat_grey,splat_red,0,3030.5
p002-p050,random_associations,2,splat_pink,splat_yellow,0,1157.5
p002-p050,random_associations,2,splat_red,splat_grey,0,1714.59999990463
p002-p050,random_associations,2,splat_pink,splat_pink,1,2811.79999995232
p002-p050,random_associations,2,splat_yellow,splat_yellow,1,5196.5
p002-p050,random_associations,2,splat_red,splat_pink,0,1241.59999990463
p002-p050,random_associations,2,splat_grey,splat_grey,1,2857.19999980927
p002-p050,random_associations,3,pentagon_grey,pentagon_grey,1,3526
p002-p050,random_associations,3,cross_pink,cross_yellow,0,3356.70000004768
p002-p050,random_associations,3,cross_yellow,cross_red,0,2143.70000004768
p002-p050,random_associations,3,cross_red,cross_yellow,0,3085.10000014305
p002-p050,random_associations,3,cross_red,cross_red,1,2226.70000004768
p002-p050,random_associations,3,cross_yellow,cross_red,0,4003.70000004768
p002-p050,random_associations,3,circle_pink,circle_yellow,0,2503.79999995232
p002-p050,random_associations,3,diamond_grey,diamond_grey,1,2718.39999985695
p002-p050,random_associations,3,diamond_red,diamond_red,1,1551.5
p002-p050,random_associations,3,pentagon_pink,pentagon_pink,1,1574.5
p002-p050,random_associations,3,circle_grey,circle_grey,1,2522.39999985695
p002-p050,random_associations,3,pentagon_yellow,pentagon_yellow,1,4288.70000004768
p002-p050,random_associations,3,diamond_grey,diamond_grey,1,1939.09999990463
p002-p050,random_associations,3,diamond_yellow,diamond_yellow,1,4636.29999995232
p002-p050,random_associations,3,diamond_pink,diamond_pink,1,2021.20000004768
