Token	Corpus	Time	Text	Genre	Type	Whole_Genitive	Possessor	Possessum	Possessor_Length	Possessum_Length
ba01.0001.02	Brown	1960	A01	Press	s	Atlanta's recent primary election	Atlanta's	recent primary election	1	3
ba01.0002.02	Brown	1960	A01	Press	of	the praise and thanks of the City of Atlanta	the City of Atlanta	the praise and thanks	4	4
ba01.0004.03	Brown	1960	A01	Press	of	the size of this city	this city	the size	2	2
ba01.0005.02	Brown	1960	A01	Press	s	Georgia's registration and election laws	Georgia's	registration and election laws	1	4
ba01.0007.02	Brown	1960	A01	Press	of	the best interest of both governments	both governments	the best interest	2	3
ba01.0008.01	Brown	1960	A01	Press	of	the cost of administration	administration	the cost	1	2
ba01.0011.02	Brown	1960	A01	Press	s	Georgia's automobile title law	Georgia's	automobile title law	1	3
ba01.0014.02	Brown	1960	A01	Press	of	the welfare departments of all the counties in the state with the exception of Fulton County	all the counties in the state with the exception of Fulton County	the welfare departments	8	3
ba01.0018.03	Brown	1960	A01	Press	of	the appointment of appraisers , guardians and administrators	appraisers, guardians and administrators	the appointment	4	2
ba01.0019.02	Brown	1960	A01	Press	of	the recommendations of two previous grand juries	two previous grand juries	the recommendations	4	2
ba01.0021.01	Brown	1960	A01	Press	s	Atlanta's new multi-million-dollar airport	Atlanta's	new multi-million-dollar airport	1	3
ba01.0022.02	Brown	1960	A01	Press	of	the pricing practices of the concessionaires	the concessionaires	the pricing practices	2	3
ba01.0037.01	Brown	1960	A01	Press	s	The mayor's present term of office	The mayor's	present term of office	2	4
ba01.0037.02	Brown	1960	A01	Press	of	The mayor's present term of office	office	The mayor's present term	1	4
ba01.0042.01	Brown	1960	A01	Press	of	the signatures of registered voters	registered voters	the signatures	2	2
ba01.0055.01	Brown	1960	A01	Press	of	the validity of the act	the act	the validity	2	2
ba02.0001.02	Brown	1960	A02	Press	s	Gov. Price Daniel's abandoned property act	Gov. Price Daniel's	abandoned property act	3	3
ba02.0001.03	Brown	1960	A02	Press	of	the adamant protests of Texas bankers	Texas bankers	the adamant protests	2	3
ba02.0005.03	Brown	1960	A02	Press	of	the end of the current fiscal year	the current fiscal year	the end	4	2
ba02.0010.02	Brown	1960	A02	Press	of	the confidence of bank customers	bank customers	the confidence	2	2
ba02.0017.01	Brown	1960	A02	Press	of	the bill of Sen. George Parkhouse of Dallas	Sen. George Parkhouse of Dallas	the bill	5	2
ba02.0021.03	Brown	1960	A02	Press	s	the first year's capital outlay of $88,000	the first year's	capital outlay of $88,000	3	4
ba02.0025.01	Brown	1960	A02	Press	s	Berry's proposed constitutional amendment	Berry's	proposed constitutional amendment	1	3
ba02.0031.01	Brown	1960	A02	Press	s	the State Health Department's authority to give planning assistance to cities	the State Health Department's	authority to give planning assistance to cities	4	7
ba02.0053.01	Brown	1960	A02	Press	of	the alleged water needs of Texas' big cities	Texas' big cities	the alleged water needs	3	4
ba02.0053.02	Brown	1960	A02	Press	s	Texas' big cities	Texas'	big cities	1	2
ba02.0072.02	Brown	1960	A02	Press	of	the board of regents of Paris Junior College	Paris Junior College	the board of regents	3	4
ba02.0073.01	Brown	1960	A02	Press	s	the school's new president	the school's	new president	2	2
