participant_ID,trial_number,target_cxn,prime_cxn,verb_overlap,rt
B32EFLPA,4,CM,RES,yes,1983
B32EFLPA,4,CM,RES,yes,1289
B32EFLPA,4,CM,RES,yes,1031
B32EFLPA,9,RES,CM,yes,1784
B32EFLPA,9,RES,CM,yes,1327
B32EFLPA,9,RES,CM,yes,1344
B32EFLPA,14,RES,CM,no,1583
B32EFLPA,14,RES,CM,no,2032
B32EFLPA,14,RES,CM,no,1545
B32EFLPA,18,CM,RES,no,2136
B32EFLPA,18,CM,RES,no,2375
B32EFLPA,18,CM,RES,no,1000
B32EFLPA,23,CM,CM,no,2246
B32EFLPA,23,CM,CM,no,1519
B32EFLPA,23,CM,CM,no,1184
B32EFLPA,32,CM,CM,yes,1976
B32EFLPA,32,CM,CM,yes,1232
B32EFLPA,32,CM,CM,yes,978
B32EFLPA,38,RES,RES,yes,1663
B32EFLPA,38,RES,RES,yes,1408
B32EFLPA,43,RES,RES,no,1072
B32EFLPA,43,RES,RES,no,2168
B32EFLPA,43,RES,RES,no,1801
B32EFLPA,48,RES,CM,yes,1832
B32EFLPA,48,RES,CM,yes,1327
B32EFLPA,53,RES,CM,no,1528
B32EFLPA,53,RES,CM,no,1937
B32EFLPA,53,RES,CM,no,1976
B32EFLPA,58,RES,RES,yes,1768
B32EFLPA,58,RES,RES,yes,816
B32EFLPA,58,RES,RES,yes,1392
B32EFLPA,64,CM,RES,no,2392
B32EFLPA,64,CM,RES,no,768
B32EFLPA,68,CM,CM,yes,2017
B32EFLPA,68,CM,CM,yes,1793
B32EFLPA,79,CM,CM,no,1712
B32EFLPA,79,CM,CM,no,1649
B32EFLPA,79,CM,CM,no,1024
B32EFLPA,85,CM,CM,no,1159
B32EFLPA,85,CM,CM,no,1784
B32EFLPA,85,CM,CM,no,1240
B32EFLPA,95,RES,CM,no,2128
B32EFLPA,95,RES,CM,no,1889
B32EFLPA,95,RES,CM,no,2223
B32EFLPA,101,CM,RES,yes,1688
B32EFLPA,101,CM,RES,yes,1778
B32EFLPA,101,CM,RES,yes,1287
B32EFLPA,106,CM,CM,yes,1923
B32EFLPA,106,CM,CM,yes,1401
B32EFLPA,106,CM,CM,yes,950
B32EFLPA,111,RES,RES,yes,1280
B32EFLPA,111,RES,RES,yes,1184
B32EFLPA,111,RES,RES,yes,1736
B32EFLPA,116,RES,RES,no,1136
B32EFLPA,116,RES,RES,no,2249
B32EFLPA,116,RES,RES,no,1040
B32EFLPA,121,RES,CM,yes,1536
B32EFLPA,121,RES,CM,yes,1808
B32EFLPA,121,RES,CM,yes,500
B32EFLPA,130,CM,RES,yes,1657
B32EFLPA,130,CM,RES,yes,2864
B32EFLPA,130,CM,RES,yes,1552
B32EFLPA,140,CM,CM,no,2079
B32EFLPA,140,CM,CM,no,1726
B32EFLPA,140,CM,CM,no,1400
B32EFLPA,150,CM,CM,yes,1288
B32EFLPA,150,CM,CM,yes,848
B32EFLPA,154,RES,RES,yes,1089
B32EFLPA,154,RES,RES,yes,968
B32EFLPA,160,RES,CM,no,2632
B32EFLPA,160,RES,CM,no,1249
78IBAD7K,4,CM,RES,yes,1499
78IBAD7K,4,CM,RES,yes,1678
78IBAD7K,4,CM,RES,yes,1052
78IBAD7K,9,RES,CM,yes,813
78IBAD7K,9,RES,CM,yes,898
78IBAD7K,9,RES,CM,yes,1644
78IBAD7K,14,RES,CM,no,1022
78IBAD7K,14,RES,CM,no,2212
78IBAD7K,14,RES,CM,no,1866
78IBAD7K,18,CM,RES,no,1265
78IBAD7K,23,CM,CM,no,1459
78IBAD7K,23,CM,CM,no,1101
78IBAD7K,23,CM,CM,no,1703
78IBAD7K,32,CM,CM,yes,1443
78IBAD7K,43,RES,RES,no,1194
78IBAD7K,43,RES,RES,no,722
78IBAD7K,43,RES,RES,no,1087
78IBAD7K,48,RES,CM,yes,1126
78IBAD7K,48,RES,CM,yes,1755
78IBAD7K,48,RES,CM,yes,860
78IBAD7K,58,RES,RES,yes,971
78IBAD7K,58,RES,RES,yes,853
78IBAD7K,58,RES,RES,yes,781
78IBAD7K,64,CM,RES,no,2204
78IBAD7K,64,CM,RES,no,1435
78IBAD7K,64,CM,RES,no,1091
78IBAD7K,68,CM,CM,yes,1348
78IBAD7K,68,CM,CM,yes,824
78IBAD7K,68,CM,CM,yes,1086
78IBAD7K,74,CM,RES,yes,792
78IBAD7K,74,CM,RES,yes,1250
78IBAD7K,74,CM,RES,yes,669
78IBAD7K,89,CM,RES,no,1726
78IBAD7K,89,CM,RES,no,684
78IBAD7K,95,RES,CM,no,2502
78IBAD7K,95,RES,CM,no,884
78IBAD7K,95,RES,CM,no,964
78IBAD7K,106,CM,CM,yes,1498
78IBAD7K,106,CM,CM,yes,1125
78IBAD7K,106,CM,CM,yes,717
78IBAD7K,111,RES,RES,yes,1089
78IBAD7K,111,RES,RES,yes,980
78IBAD7K,111,RES,RES,yes,1227
78IBAD7K,116,RES,RES,no,1096
78IBAD7K,116,RES,RES,no,653
78IBAD7K,116,RES,RES,no,1221
78IBAD7K,126,RES,CM,yes,906
78IBAD7K,126,RES,CM,yes,914
78IBAD7K,126,RES,CM,yes,1043
78IBAD7K,136,RES,RES,no,975
78IBAD7K,136,RES,RES,no,1033
78IBAD7K,136,RES,RES,no,1331
78IBAD7K,140,CM,CM,no,1270
78IBAD7K,140,CM,CM,no,803
78IBAD7K,140,CM,CM,no,845
GJ2P1AC6,4,CM,RES,yes,2015
GJ2P1AC6,4,CM,RES,yes,1265
GJ2P1AC6,4,CM,RES,yes,1015
GJ2P1AC6,9,RES,CM,yes,871
GJ2P1AC6,9,RES,CM,yes,681
GJ2P1AC6,9,RES,CM,yes,1087
GJ2P1AC6,14,RES,CM,no,1488
GJ2P1AC6,14,RES,CM,no,1600
GJ2P1AC6,14,RES,CM,no,1704
GJ2P1AC6,18,CM,RES,no,864
GJ2P1AC6,18,CM,RES,no,2176
GJ2P1AC6,18,CM,RES,no,536
GJ2P1AC6,23,CM,CM,no,2352
GJ2P1AC6,23,CM,CM,no,936
GJ2P1AC6,23,CM,CM,no,591
GJ2P1AC6,32,CM,CM,yes,1079
GJ2P1AC6,32,CM,CM,yes,799
GJ2P1AC6,32,CM,CM,yes,568
GJ2P1AC6,38,RES,RES,yes,1527
GJ2P1AC6,38,RES,RES,yes,1856
